identifier	file	sum_stat	strand_pair	description
P8.H	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.H.BPM_ave.bw	sum_sqrt	113	P8.H
P8.I	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.I.BPM_ave.bw	sum_sqrt	114	P8.I
P8.J	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.J.BPM_ave.bw	sum_sqrt	115	P8.J
P8.K	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.K.BPM_ave.bw	sum_sqrt	116	P8.K
P8.L	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.L.BPM_ave.bw	sum_sqrt	117	P8.L
P8.M	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.M.BPM_ave.bw	sum_sqrt	118	P8.M
P8.N	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.N.BPM_ave.bw	sum_sqrt	119	P8.N
P8.P	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.P.BPM_ave.bw	sum_sqrt	120	P8.P
P8.Q	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.Q.BPM_ave.bw	sum_sqrt	121	P8.Q
P8.R	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.R.BPM_ave.bw	sum_sqrt	122	P8.R
P8.S	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.S.BPM_ave.bw	sum_sqrt	123	P8.S
P8.T	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.T.BPM_ave.bw	sum_sqrt	124	P8.T
P8.U	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.U.BPM_ave.bw	sum_sqrt	125	P8.U
P8.W	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.W.BPM_ave.bw	sum_sqrt	126	P8.W
P8.X	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.X.BPM_ave.bw	sum_sqrt	127	P8.X
P8.Y	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/RNAseq_Tracks/Fmt.P8.Y.BPM_ave.bw	sum_sqrt	128	P8.Y
